Taxon name,Phylum/Division,Class,Order,Family,,AphiaID,Match type,LSID,ScientificName,AphiaID_accepted,ScientificName_accepted
Aluterus scriptus,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,,159491,exact,urn:lsid:marinespecies.org:taxname:159491,Aluterus scriptus,159491,Aluterus scriptus
Amblyraja jenseni,Chordata,Elasmobranchii,Rajiformes,Rajidae,,105864,exact,urn:lsid:marinespecies.org:taxname:105864,Amblyraja jenseni,105864,Amblyraja jenseni
Amblyraja radiata,Chordata,Elasmobranchii,Rajiformes,Rajidae,,105865,exact,urn:lsid:marinespecies.org:taxname:105865,Amblyraja radiata,105865,Amblyraja radiata
Amia calva,Chordata,Actinopterygii,Amiiformes,Amiidae,,157877,exact,urn:lsid:marinespecies.org:taxname:157877,Amia calva,157877,Amia calva
Ammodramus caudacutus,Chordata,Aves,Passeriformes,Fringillidae,,159396,exact,urn:lsid:marinespecies.org:taxname:159396,Ammodramus caudacutus,159396,Ammodramus caudacutus
Ammodramus maritimus,Chordata,Aves,Passeriformes,Fringillidae,,159397,exact,urn:lsid:marinespecies.org:taxname:159397,Ammodramus maritimus,159397,Ammodramus maritimus
Ammodytes americanus,Chordata,Actinopterygii,Perciformes,Ammodytidae,,159587,exact,urn:lsid:marinespecies.org:taxname:159587,Ammodytes americanus,159587,Ammodytes americanus
Ammodytes dubius,Chordata,Actinopterygii,Perciformes,Ammodytidae,,151520,exact,urn:lsid:marinespecies.org:taxname:151520,Ammodytes dubius,151520,Ammodytes dubius
Anarhichas lupus,Chordata,Actinopterygii,Perciformes,Anarhichadidae,,126758,exact,urn:lsid:marinespecies.org:taxname:126758,Anarhichas lupus,126758,Anarhichas lupus
Anarhichas minor,Chordata,Actinopterygii,Perciformes,Anarhichadidae,,126759,exact,urn:lsid:marinespecies.org:taxname:126759,Anarhichas minor,126759,Anarhichas minor
Anas acuta,Chordata,Aves,Anseriformes,Anatidae,,158939,exact,urn:lsid:marinespecies.org:taxname:158939,Anas acuta,158939,Anas acuta
Anas americana,Chordata,Aves,Anseriformes,Anatidae,,158940,exact,urn:lsid:marinespecies.org:taxname:158940,Anas americana,158940,Anas americana
Anas clypeata,Chordata,Aves,Anseriformes,Anatidae,,158941,exact,urn:lsid:marinespecies.org:taxname:158941,Anas clypeata,1461476,Spatula clypeata
Anas crecca carolinensis,Chordata,Aves,Anseriformes,Anatidae,,158944,exact,urn:lsid:marinespecies.org:taxname:158944,Anas crecca carolinensis,567394,Anas carolinensis
Anas discors,Chordata,Aves,Anseriformes,Anatidae,,159167,exact,urn:lsid:marinespecies.org:taxname:159167,Anas discors,1469482,Spatula discors
Anas penelope,Chordata,Aves,Anseriformes,Anatidae,,159168,exact,urn:lsid:marinespecies.org:taxname:159168,Anas penelope,1464521,Mareca penelope
Anas platyrhynchos,Chordata,Aves,Anseriformes,Anatidae,,148791,exact,urn:lsid:marinespecies.org:taxname:148791,Anas platyrhynchos,148791,Anas platyrhynchos
Anas querquedula,Chordata,Aves,Anseriformes,Anatidae,,159169,exact,urn:lsid:marinespecies.org:taxname:159169,Anas querquedula,1459928,Spatula querquedula
Anas rubripes,Chordata,Aves,Anseriformes,Anatidae,,159170,exact,urn:lsid:marinespecies.org:taxname:159170,Anas rubripes,159170,Anas rubripes
Anas strepera,Chordata,Aves,Anseriformes,Anatidae,,159171,exact,urn:lsid:marinespecies.org:taxname:159171,Anas strepera,159171,Anas strepera
Anchoa hepsetus,Chordata,Actinopterygii,Clupeiformes,Engraulidae,,158698,exact,urn:lsid:marinespecies.org:taxname:158698,Anchoa hepsetus,158698,Anchoa hepsetus
Anchoa mitchilli,Chordata,Actinopterygii,Clupeiformes,Engraulidae,,158699,exact,urn:lsid:marinespecies.org:taxname:158699,Anchoa mitchilli,158699,Anchoa mitchilli
Anguilla rostrata,Chordata,Actinopterygii,Anguilliformes,Anguillidae,,158562,exact,urn:lsid:marinespecies.org:taxname:158562,Anguilla rostrata,158562,Anguilla rostrata
Anser albifrons,Chordata,Aves,Anseriformes,Anatidae,,159159,exact,urn:lsid:marinespecies.org:taxname:159159,Anser albifrons,159159,Anser albifrons
Antennarius ocellatus,Chordata,Actinopterygii,Lophiiformes,Antennariidae,,158789,exact,urn:lsid:marinespecies.org:taxname:158789,Antennarius ocellatus,712507,Fowlerichthys ocellatus
Anthias nicholsi,Chordata,Actinopterygii,Perciformes,Serranidae,,159344,exact,urn:lsid:marinespecies.org:taxname:159344,Anthias nicholsi,159344,Anthias nicholsi
Antigonia capros,Chordata,Actinopterygii,Zeiformes,Caproidae,,127418,exact,urn:lsid:marinespecies.org:taxname:127418,Antigonia capros,127418,Antigonia capros
Antigonia combatia,Chordata,Actinopterygii,Zeiformes,Caproidae,,159429,exact,urn:lsid:marinespecies.org:taxname:159429,Antigonia combatia,159429,Antigonia combatia
Antimora rostrata,Chordata,Actinopterygii,Gadiformes,Moridae,,126486,exact,urn:lsid:marinespecies.org:taxname:126486,Antimora rostrata,126486,Antimora rostrata
